,round_epochs,val_loss,val_acc,loss,acc,lr,kernel_size,num_kernel,optimizer
0,9,10.628599208334219,0.3405797196471173,9.958438409482195,0.3715846995078367,10.0,14,120,<class 'keras.optimizers.Adagrad'>
1,46,0.6090273822563282,0.6884057962376139,0.5863295593765481,0.7358834309221834,0.1,6,120,<class 'keras.optimizers.Adagrad'>
2,41,0.5453253189722697,0.7463768107303674,0.4454402060456615,0.7959927038199698,1.0,8,64,<class 'keras.optimizers.RMSprop'>
3,9,5.429652981136156,0.6594202993572622,5.459323226428423,0.6575592095083226,10.0,12,96,<class 'keras.optimizers.Adadelta'>
4,9,10.628599208334219,0.3405797196471173,9.890820824600526,0.37887067297551585,10.0,8,96,<class 'keras.optimizers.Adagrad'>
5,50,0.6088940889939017,0.6739130547081215,0.6014216534644093,0.692167580561994,0.1,6,96,<class 'keras.optimizers.Adadelta'>
6,41,0.5246593269748964,0.7826087042905282,0.15059395514442186,0.9398906962684812,1.0,12,96,<class 'keras.optimizers.Adadelta'>
7,9,4.330999091051627,0.6594202993572622,5.459323198634635,0.6575592064683772,1.0,10,64,<class 'keras.optimizers.Adagrad'>
8,13,0.7942115413969841,0.6521739061327948,1.0940867370377907,0.6156648444130556,0.1,14,64,<class 'keras.optimizers.Adadelta'>
9,10,5.417993103248485,0.6594202993572622,5.459323191251911,0.6575592146110882,10.0,10,96,<class 'keras.optimizers.Adadelta'>
10,18,0.7559555414794148,0.6594202993572622,0.7793144229765581,0.6575592032112928,0.1,8,96,<class 'keras.optimizers.Adadelta'>
11,9,5.4196075632952265,0.6594202993572622,5.282314535915743,0.6575592103768785,1.0,10,96,<class 'keras.optimizers.Adagrad'>
12,9,10.628599208334219,0.3405797196471173,10.027536063897806,0.35883424359158306,1.0,12,96,<class 'keras.optimizers.Adagrad'>
13,19,8.878490987031356,0.3405797196471173,10.598601917968638,0.34244080976276015,1.0,6,120,<class 'keras.optimizers.Adagrad'>
14,118,0.7013167004654373,0.6739130469336025,0.34941634058083776,0.8524590136792056,0.1,14,64,<class 'keras.optimizers.Adam'>
15,14,0.6654709560283716,0.615942038487697,0.7406609165863912,0.6630236797428305,0.1,14,96,<class 'keras.optimizers.Adagrad'>
16,9,4.883766858474068,0.6594202993572622,5.459323289833,0.6575592075540719,10.0,8,32,<class 'keras.optimizers.Adadelta'>
17,9,5.429652981136156,0.6594202993572622,5.4593232142686405,0.6575592054912518,0.1,10,120,<class 'keras.optimizers.Adadelta'>
18,61,0.606348707192186,0.7028985584991566,0.35719633721263033,0.8342440723287169,0.1,12,120,<class 'keras.optimizers.Adadelta'>
19,10,8.990969063579172,0.3405797196471173,10.59860204304068,0.3424408053656962,10.0,8,120,<class 'keras.optimizers.Adam'>
20,150,0.6665675294572029,0.6739130469336025,0.7541318674773684,0.66666666807807,0.1,8,32,<class 'keras.optimizers.Adagrad'>
21,9,10.628599208334219,0.3405797196471173,10.029084174359431,0.3752276848031306,10.0,12,120,<class 'keras.optimizers.RMSprop'>
22,9,5.429652981136156,0.6594202993572622,5.459323265513436,0.6575592083140583,10.0,14,64,<class 'keras.optimizers.Adagrad'>
23,9,10.60161540819251,0.3405797196471173,9.714558494981304,0.377049180925001,10.0,6,64,<class 'keras.optimizers.Adadelta'>
